algorithm,instance_name,scale,max_fes_budget,run_number,best_fitness,base_cost,feasible,violation_total,fes_used,run_dir
SHOA,S01.json,S,1500,1,10245.72774750826,245.7277475082592,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/S01_fes1500/run-2026-06-14-02-51-53
SHOA,S01.json,S,1500,2,10245.267273980806,245.2672739808057,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/S01_fes1500/run-2026-06-14-02-51-53
SHOA-COMBINED,S01.json,S,1500,1,10234.864364678682,234.86436467868236,0,1.0,1522,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-51-54
SHOA-COMBINED,S01.json,S,1500,2,10241.148082959635,241.14808295963462,0,1.0,1526,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-51-54
SHOA,S02.json,S,1500,1,20278.837337241097,278.8373372410979,0,2.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/S02_fes1500/run-2026-06-14-02-51-53
SHOA,S02.json,S,1500,2,10271.039186026443,271.0391860264434,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/S02_fes1500/run-2026-06-14-02-51-53
SHOA-COMBINED,S02.json,S,1500,1,10271.039186026443,271.0391860264434,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-51-54
SHOA-COMBINED,S02.json,S,1500,2,10271.039186026443,271.0391860264434,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-51-54
SHOA,S03.json,S,1500,1,10244.025388474303,244.02538847430333,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/S03_fes1500/run-2026-06-14-02-51-53
SHOA,S03.json,S,1500,2,10260.781096863178,260.7810968631776,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/S03_fes1500/run-2026-06-14-02-51-53
SHOA-COMBINED,S03.json,S,1500,1,23756.855542763216,262.2795058059414,0,2.3494576036957273,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/S03_fes1500/run-2026-06-14-02-51-54
SHOA-COMBINED,S03.json,S,1500,2,10248.669986718944,248.66998671894402,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/S03_fes1500/run-2026-06-14-02-51-54
SHOA,M01.json,M,2000,1,10799.089312466102,799.0893124661009,0,1.0,2000,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/M01_fes2000/run-2026-06-14-02-51-54
SHOA,M01.json,M,2000,2,19573.581473082264,814.9781485891801,0,1.8758603324493084,2000,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA/M01_fes2000/run-2026-06-14-02-51-54
SHOA-COMBINED,M01.json,M,2000,1,19551.492096493435,792.888772000351,0,1.8758603324493084,2008,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/M01_fes2000/run-2026-06-14-02-51-56
SHOA-COMBINED,M01.json,M,2000,2,39551.5624114447,792.9590869516201,0,3.8758603324493084,2006,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_parallel_smoke/raw/SHOA-COMBINED/M01_fes2000/run-2026-06-14-02-51-56
