run_id,timestamp,function_name,dimension,iteration,best_fitness_so_far,population_avg_fitness,diversity_metric,selected_agents,elite_selected,diverse_selected,outliers_selected,random_selected,lime_selection_mode,lime_triggered,lime_trigger_source,diagnosis_id,lime_dataset_updated,lime_buffer_size,warmup_active,warmup_fes,warmup_progress,improved_agents,fe,max_fes,last_improvement_fe,sfes,min_sfes,stagnated,event,restart_enabled,restart_attempted,restart_executed,restart_blocked_by_cooldown,restart_count,restart_percent,restart_source,restart_feature,restart_feature_score,restart_dominance_threshold,restart_cooldown_fes,restart_cooldown_remaining_fes,lime_enabled,stagnation_enabled,run_number
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,1,20280.9781163426,55601.89714720902,1.2319510240081657,4,1,1,1,1,medoid,0,none,0,0,0,1,75,0.6666666666666666,14,50,1500,50,0,60,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,0,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,2,10271.039186026443,23144.720955552886,0.7590059999576083,4,1,1,1,1,medoid,0,none,0,1,20,0,75,1.0,15,80,1500,80,0,60,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,0,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,3,10271.039186026443,15100.134772705234,0.4530629271941515,4,1,1,1,1,medoid,0,none,0,1,40,0,75,1.0,9,110,1500,80,30,60,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,0,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,4,10271.039186026443,21188.990139783837,0.2170860863015034,4,1,1,1,1,medoid,1,stagnation_start,1,1,60,0,75,1.0,1,142,1500,80,60,60,1,stagnation_start,1,1,1,0,2,7.0,random_fallback,distance_to_elite,0.2622430689676637,0.9,60,60,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,5,10269.291931221149,23675.208209945773,0.49119392660773437,4,1,1,1,1,medoid,0,none,0,1,80,0,75,1.0,8,172,1500,172,0,60,0,recovered,1,0,0,0,0,7.0,none,,0.0,0.9,60,30,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,6,10269.291931221149,13892.960136510723,0.18040050976748243,4,1,1,1,1,medoid,0,none,0,1,100,0,75,1.0,8,202,1500,172,30,60,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,0,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,7,10269.291931221149,21174.74846632005,0.17584897840962846,4,1,1,1,1,medoid,1,stagnation_start,2,1,120,0,75,1.0,1,234,1500,172,60,60,1,stagnation_start,1,1,1,0,2,7.0,random_fallback,r2,0.2129291867166485,0.9,60,60,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,8,10269.291931221149,17515.73936602128,0.47598867813706425,4,1,1,1,1,medoid,0,none,0,0,120,0,75,1.0,4,264,1500,172,92,60,1,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,30,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,9,10269.291931221149,18774.727562491847,0.22670170297847236,4,1,1,1,1,medoid,0,none,0,0,120,0,75,1.0,6,294,1500,172,122,60,1,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,0,1,1,1
run-2026-06-14-02-30-43,2026-06-14T02:30:43Z,S02.json,20,10,10269.291931221149,15703.772422343241,0.2510931729703512,4,1,1,1,1,medoid,0,none,0,0,120,0,75,1.0,6,324,1500,172,152,60,1,none,1,0,0,0,0,7.0,none,,0.0,0.9,60,0,1,1,1
