algorithm,instance_name,scale,max_fes_budget,run_number,best_fitness,base_cost,feasible,violation_total,fes_used,run_dir
PSO,S01.json,S,1500,1,10230.17737288566,230.17737288566013,0,1.0,1500,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/PSO/S01_fes1500/run-2026-06-14-02-30-37
PSO,S01.json,S,1500,2,10230.7812770957,230.78127709569986,0,1.0,1500,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/PSO/S01_fes1500/run-2026-06-14-02-30-37
SHOA,S01.json,S,1500,1,10245.267273980806,245.2672739808057,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA/S01_fes1500/run-2026-06-14-02-30-38
SHOA,S01.json,S,1500,2,10247.01040270561,247.01040270560907,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA/S01_fes1500/run-2026-06-14-02-30-38
SHOA-COMBINED,S01.json,S,1500,1,10245.76558743708,245.76558743707977,0,1.0,1526,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-30-39
SHOA-COMBINED,S01.json,S,1500,2,10254.175135428903,254.1751354289023,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-30-39
PSO,S02.json,S,1500,1,10248.904902940534,248.90490294053356,0,1.0,1500,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/PSO/S02_fes1500/run-2026-06-14-02-30-41
PSO,S02.json,S,1500,2,10273.470306481286,273.4703064812862,0,1.0,1500,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/PSO/S02_fes1500/run-2026-06-14-02-30-41
SHOA,S02.json,S,1500,1,10272.852651905194,272.8526519051936,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA/S02_fes1500/run-2026-06-14-02-30-42
SHOA,S02.json,S,1500,2,10271.039186026443,271.0391860264434,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA/S02_fes1500/run-2026-06-14-02-30-42
SHOA-COMBINED,S02.json,S,1500,1,10269.291931221149,269.2919312211487,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-30-43
SHOA-COMBINED,S02.json,S,1500,2,10271.039186026443,271.0391860264434,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-30-43
