run_id,timestamp,function_name,dimension,iteration,best_fitness_so_far,population_avg_fitness,diversity_metric,selected_agents,elite_selected,diverse_selected,outliers_selected,random_selected,lime_selection_mode,lime_triggered,lime_trigger_source,diagnosis_id,lime_dataset_updated,lime_buffer_size,warmup_active,warmup_fes,warmup_progress,improved_agents,fe,max_fes,last_improvement_fe,sfes,min_sfes,stagnated,event,restart_enabled,restart_attempted,restart_executed,restart_blocked_by_cooldown,restart_count,restart_percent,restart_source,restart_feature,restart_feature_score,restart_dominance_threshold,restart_cooldown_fes,restart_cooldown_remaining_fes,lime_enabled,stagnation_enabled,run_number
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,1,200071.79010700682,383675.70524780714,2.0307877997091577,4,1,1,1,1,medoid,0,none,0,0,0,1,100,0.5,12,50,2000,50,0,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,2,156709.3475357198,335526.4329075477,1.570644290364925,4,1,1,1,1,medoid,0,none,0,0,0,1,100,0.8,10,80,2000,80,0,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,3,65840.1871455784,174639.96931361992,0.9834038733928756,4,1,1,1,1,medoid,0,none,0,1,20,0,100,1.0,18,110,2000,110,0,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,4,55838.81835863306,147074.63323207217,0.6641791490799768,4,1,1,1,1,medoid,0,none,0,1,40,0,100,1.0,11,140,2000,140,0,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,5,55838.81835863306,208812.08859149212,0.5884231896661922,4,1,1,1,1,medoid,0,none,0,1,60,0,100,1.0,2,170,2000,140,30,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,6,54927.05224446312,191214.45860479545,0.48906907697365476,4,1,1,1,1,medoid,0,none,0,1,80,0,100,1.0,6,200,2000,200,0,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,7,54927.05224446312,227460.4413624493,0.35878893108338117,4,1,1,1,1,medoid,0,none,0,1,100,0,100,1.0,7,230,2000,200,30,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,8,54927.05224446312,206274.17578493623,0.3022069162237423,4,1,1,1,1,medoid,0,none,0,1,120,0,100,1.0,8,260,2000,200,60,80,0,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,0,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,9,54927.05224446312,195861.15755629516,0.2689522971914585,4,1,1,1,1,medoid,1,stagnation_start,1,1,140,0,100,1.0,9,292,2000,200,90,80,1,stagnation_start,1,1,1,0,2,7.0,random_fallback,distance_to_elite,0.42013835240708736,0.9,80,80,1,1,1
run-2026-06-14-02-48-46,2026-06-14T02:48:46Z,M01.json,50,10,54927.05224446312,210439.1828431036,0.7048258207065498,4,1,1,1,1,medoid,0,none,0,0,140,0,100,1.0,5,322,2000,200,122,80,1,none,1,0,0,0,0,7.0,none,,0.0,0.9,80,50,1,1,1
