algorithm,instance_name,scale,max_fes_budget,run_number,best_fitness,base_cost,feasible,violation_total,fes_used,run_dir
SHOA,S01.json,S,1500,1,10252.371207359996,252.3712073599957,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA/S01_fes1500/run-2026-06-14-02-48-37
SHOA,S01.json,S,1500,2,10242.374268948613,242.3742689486126,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA/S01_fes1500/run-2026-06-14-02-48-37
SHOA-COMBINED,S01.json,S,1500,1,227.61191605957575,227.61191605957575,1,0.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-48-39
SHOA-COMBINED,S01.json,S,1500,2,10231.028885896081,231.02888589608204,0,1.0,1522,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-48-39
SHOA,S02.json,S,1500,1,10272.852651905194,272.8526519051936,0,1.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA/S02_fes1500/run-2026-06-14-02-48-40
SHOA,S02.json,S,1500,2,20291.48495971119,291.48495971119,0,2.0,1490,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA/S02_fes1500/run-2026-06-14-02-48-40
SHOA-COMBINED,S02.json,S,1500,1,10271.039186026443,271.0391860264434,0,1.0,1522,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-48-42
SHOA-COMBINED,S02.json,S,1500,2,10271.039186026443,271.0391860264434,0,1.0,1524,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-48-42
SHOA,M01.json,M,2000,1,69554.75217973388,796.1488552407938,0,6.875860332449308,2000,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA/M01_fes2000/run-2026-06-14-02-48-43
SHOA,M01.json,M,2000,2,52436.52352087971,811.5371529948098,0,5.16249863678849,2000,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA/M01_fes2000/run-2026-06-14-02-48-43
SHOA-COMBINED,M01.json,M,2000,1,54927.05224446312,805.7755890777373,0,5.412127665538538,2002,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/M01_fes2000/run-2026-06-14-02-48-46
SHOA-COMBINED,M01.json,M,2000,2,25818.641098741376,797.7247372556928,0,2.5020916361485686,2010,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/M01_fes2000/run-2026-06-14-02-48-46
