instance_id,scale,n,m,D_max,P_min,P_max,pi,filename
S01,Small,20,8,6.0,1,4,10000.0,S01.json
S02,Small,20,8,6.0,1,4,10000.0,S02.json
S03,Small,20,8,6.0,1,4,10000.0,S03.json
S04,Small,20,8,6.0,1,4,10000.0,S04.json
S05,Small,20,8,6.0,1,4,10000.0,S05.json
S06,Small,20,8,6.0,1,4,10000.0,S06.json
S07,Small,20,8,6.0,1,4,10000.0,S07.json
S08,Small,20,8,6.0,1,4,10000.0,S08.json
S09,Small,20,8,6.0,1,4,10000.0,S09.json
S10,Small,20,8,6.0,1,4,10000.0,S10.json
S11,Small,20,8,6.0,1,4,10000.0,S11.json
S12,Small,20,8,6.0,1,4,10000.0,S12.json
S13,Small,20,8,6.0,1,4,10000.0,S13.json
S14,Small,20,8,6.0,1,4,10000.0,S14.json
S15,Small,20,8,6.0,1,4,10000.0,S15.json
S16,Small,20,8,6.0,1,4,10000.0,S16.json
S17,Small,20,8,6.0,1,4,10000.0,S17.json
S18,Small,20,8,6.0,1,4,10000.0,S18.json
S19,Small,20,8,6.0,1,4,10000.0,S19.json
S20,Small,20,8,6.0,1,4,10000.0,S20.json
M01,Medium,50,15,7.0,2,8,10000.0,M01.json
M02,Medium,50,15,7.0,2,8,10000.0,M02.json
M03,Medium,50,15,7.0,2,8,10000.0,M03.json
M04,Medium,50,15,7.0,2,8,10000.0,M04.json
M05,Medium,50,15,7.0,2,8,10000.0,M05.json
M06,Medium,50,15,7.0,2,8,10000.0,M06.json
M07,Medium,50,15,7.0,2,8,10000.0,M07.json
M08,Medium,50,15,7.0,2,8,10000.0,M08.json
M09,Medium,50,15,7.0,2,8,10000.0,M09.json
M10,Medium,50,15,7.0,2,8,10000.0,M10.json
M11,Medium,50,15,7.0,2,8,10000.0,M11.json
M12,Medium,50,15,7.0,2,8,10000.0,M12.json
M13,Medium,50,15,7.0,2,8,10000.0,M13.json
M14,Medium,50,15,7.0,2,8,10000.0,M14.json
M15,Medium,50,15,7.0,2,8,10000.0,M15.json
M16,Medium,50,15,7.0,2,8,10000.0,M16.json
M17,Medium,50,15,7.0,2,8,10000.0,M17.json
M18,Medium,50,15,7.0,2,8,10000.0,M18.json
M19,Medium,50,15,7.0,2,8,10000.0,M19.json
M20,Medium,50,15,7.0,2,8,10000.0,M20.json
L01,Large,100,25,8.0,3,12,10000.0,L01.json
L02,Large,100,25,8.0,3,12,10000.0,L02.json
L03,Large,100,25,8.0,3,12,10000.0,L03.json
L04,Large,100,25,8.0,3,12,10000.0,L04.json
L05,Large,100,25,8.0,3,12,10000.0,L05.json
L06,Large,100,25,8.0,3,12,10000.0,L06.json
L07,Large,100,25,8.0,3,12,10000.0,L07.json
L08,Large,100,25,8.0,3,12,10000.0,L08.json
L09,Large,100,25,8.0,3,12,10000.0,L09.json
L10,Large,100,25,8.0,3,12,10000.0,L10.json
L11,Large,100,25,8.0,3,12,10000.0,L11.json
L12,Large,100,25,8.0,3,12,10000.0,L12.json
L13,Large,100,25,8.0,3,12,10000.0,L13.json
L14,Large,100,25,8.0,3,12,10000.0,L14.json
L15,Large,100,25,8.0,3,12,10000.0,L15.json
L16,Large,100,25,8.0,3,12,10000.0,L16.json
L17,Large,100,25,8.0,3,12,10000.0,L17.json
L18,Large,100,25,8.0,3,12,10000.0,L18.json
L19,Large,100,25,8.0,3,12,10000.0,L19.json
L20,Large,100,25,8.0,3,12,10000.0,L20.json
XL01,XLarge,250,50,9.0,4,20,10000.0,XL01.json
XL02,XLarge,250,50,9.0,4,20,10000.0,XL02.json
XL03,XLarge,250,50,9.0,4,20,10000.0,XL03.json
XL04,XLarge,250,50,9.0,4,20,10000.0,XL04.json
XL05,XLarge,250,50,9.0,4,20,10000.0,XL05.json
XL06,XLarge,250,50,9.0,4,20,10000.0,XL06.json
XL07,XLarge,250,50,9.0,4,20,10000.0,XL07.json
XL08,XLarge,250,50,9.0,4,20,10000.0,XL08.json
XL09,XLarge,250,50,9.0,4,20,10000.0,XL09.json
XL10,XLarge,250,50,9.0,4,20,10000.0,XL10.json
XL11,XLarge,250,50,9.0,4,20,10000.0,XL11.json
XL12,XLarge,250,50,9.0,4,20,10000.0,XL12.json
XL13,XLarge,250,50,9.0,4,20,10000.0,XL13.json
XL14,XLarge,250,50,9.0,4,20,10000.0,XL14.json
XL15,XLarge,250,50,9.0,4,20,10000.0,XL15.json
XL16,XLarge,250,50,9.0,4,20,10000.0,XL16.json
XL17,XLarge,250,50,9.0,4,20,10000.0,XL17.json
XL18,XLarge,250,50,9.0,4,20,10000.0,XL18.json
XL19,XLarge,250,50,9.0,4,20,10000.0,XL19.json
XL20,XLarge,250,50,9.0,4,20,10000.0,XL20.json
2XL01,2XLarge,1000,100,10.0,5,40,10000.0,2XL01.json
2XL02,2XLarge,1000,100,10.0,5,45,10000.0,2XL02.json
2XL03,2XLarge,1000,100,10.0,5,45,10000.0,2XL03.json
2XL04,2XLarge,1000,100,10.0,5,45,10000.0,2XL04.json
2XL05,2XLarge,1000,100,10.0,5,45,10000.0,2XL05.json
2XL06,2XLarge,1000,100,10.0,5,45,10000.0,2XL06.json
2XL07,2XLarge,1000,100,10.0,5,45,10000.0,2XL07.json
2XL08,2XLarge,1000,100,10.0,5,45,10000.0,2XL08.json
2XL09,2XLarge,1000,100,10.0,5,50,10000.0,2XL09.json
2XL10,2XLarge,1000,100,10.0,5,50,10000.0,2XL10.json
2XL11,2XLarge,1000,100,10.0,5,50,10000.0,2XL11.json
2XL12,2XLarge,1000,100,10.0,5,50,10000.0,2XL12.json
2XL13,2XLarge,1000,100,10.0,5,50,10000.0,2XL13.json
2XL14,2XLarge,1000,100,10.0,5,40,10000.0,2XL14.json
2XL15,2XLarge,1000,100,10.0,5,40,10000.0,2XL15.json
2XL16,2XLarge,1000,100,10.0,5,40,10000.0,2XL16.json
2XL17,2XLarge,1000,100,10.0,5,40,10000.0,2XL17.json
2XL18,2XLarge,1000,100,10.0,5,40,10000.0,2XL18.json
2XL19,2XLarge,1000,100,10.0,5,40,10000.0,2XL19.json
2XL20,2XLarge,1000,100,10.0,5,40,10000.0,2XL20.json
