dataset,function,dimension,n_runs,best,worst,mean,std
Leader,F102022,10,30,-102.63607486233877,2777.7887535784203,2204.7025068815824,737.8733990319139
Leader,F112022,10,30,2602.529647254937,3622.3092302123973,2681.2160541576636,193.09174845023148
Leader,F12022,10,30,395.5477509903427,4571.696697769733,1156.7582938043734,1161.8804107839878
Leader,F122022,10,30,2823.611601976406,3046.3585501474204,2902.9134950804773,46.16795807578209
Leader,F22022,10,30,401.72516023909833,632.3987813949327,463.8428491959852,58.45902523804736
Leader,F32022,10,30,600.000393603269,600.3176977749879,600.0299586042347,0.059192307845416625
Leader,F42022,10,30,820.0000005046542,870.6484134925411,844.4681892738739,12.454143278254161
Leader,F52022,10,30,900.1151037875163,902.1233986511054,900.9619632628039,0.5728134625471372
Leader,F62022,10,30,12365.173227250825,64695.48440808353,28931.32652535044,12085.716811296794
Leader,F72022,10,30,2026.8317294963676,2253.515654954602,2118.8543025040517,51.35159898482348
Leader,F82022,10,30,2237.0690330347297,4138.282404615684,2794.2251132746114,657.1707796758135
Leader,F92022,10,30,2305.5812378790847,2965.118248929973,2626.7224679930628,239.39711278967798
